序号,学校,类别,地址,邮编,电话
79,上海市浦东新区七色花幼儿园,公办幼儿园,"（南新部)下南路551弄38号
（绿林部）下南路309弄23号
（梓康部）梓康路666弄16号",200125,"58531209
68743119
50178639"
80,上海市浦东新区绿川幼儿园,公办幼儿园,博华路999弄9号,201204,50611392
81,上海市浦东新区北蔡幼儿园,公办幼儿园,"（北中路校区）北中路455号
（莲园路校区）莲园路555弄12号
（五星路校区）五星路231弄28号",201204,50914773
82,上海市浦东新区未来之星幼儿园,公办幼儿园,"(三林部)西泰林路375号
(康桥部)环桥路1425号",200123,50656904
83,上海市浦东新区周浦幼儿园,公办幼儿园,周浦镇公元新村15号,201318,58111451
84,上海市浦东新区澧溪幼儿园,公办幼儿园,"（澧溪校区）年家浜路353号
（瑞阳校区）瑞阳路2号",201318,"58111619
33890276"
85,上海市浦东新区好奇妙幼儿园 ,公办幼儿园,"荷兰部：春阳路209号
森兰部：高西路625号",200137,50174635
86,上海市浦东新区东旭幼儿园,公办幼儿园,莱阳路1418号,201208,33845233
87,上海市浦东新区绿洲幼儿园 ,公办幼儿园,东靖路2250弄121号,201208,50129133
88,上海市浦东新区福山同乐幼儿园,公办幼儿园,新行路96号,201208,68978295
89,上海市浦东新区高欣幼儿园,公办幼儿园,"季景北路765号
学前新村部:海春路150弄11号",200137,58615990
90,上海市浦东新区上炼三村幼儿园,公办幼儿园,大同路808弄36号,200137,58679906
91,上海市浦东新区凌桥幼儿园,公办幼儿园,凌桥凌高路128号,200137,58642180
92,上海市浦东新区明日之星幼儿园,公办幼儿园,冬融路223号,200137,58621483
93,上海市浦东新区高东幼儿园,公办幼儿园,"高东光明路489号
杨园部:高东镇环一路55号",200137,"58484808
68481891"
94,上海市浦东新区好儿童幼儿园,公办幼儿园,秋岚路101号,200137,38720755
95,上海市浦东新区东城幼儿园,公办幼儿园,惠南镇靖海路359号,201300,58005408
96,上海市浦东新区靖海之星幼儿园,公办幼儿园,惠南镇靖海南路519弄10号,201301,20910656
97,上海市浦东新区宣桥幼儿园,公办幼儿园,"宣桥镇宣镇东路785弄8号
分部：宣桥镇宣镇东路5号",201314,"68049331
58181444"
98,上海市浦东新区三灶幼儿园,公办幼儿园,"南园：宣桥镇三灶亦园路74弄96号
北园：南六公路399弄101号",201300,"58033899
68243492"
99,上海市浦东新区绿苑幼儿园,公办幼儿园,惠南镇盐大路2585弄36号,201300,20915566
100,上海市浦东新区惠南西门幼儿园,公办幼儿园,惠南镇香光路5号,201300,58022253
101,上海市浦东新区南汇实验幼儿园,公办幼儿园,惠南镇少年路1号,201300,58021493
102,上海市浦东新区荡湾幼儿园,公办幼儿园,惠南镇荡湾路21号,201300,58006039
103,上海市浦东新区黄路幼儿园,公办幼儿园,"南园:惠南镇黄路文卫路5号
北园:惠南镇黄路黄家路8号",201301,"68271157
/"
104,上海市浦东新区崂山幼儿园,公办幼儿园,崂山二村38号,200120,58765617
105,上海市浦东新区灵山幼儿园,公办幼儿园,"灵山路2000弄57号
云山路1656号",200135,50500405
106,上海市浦东新区凌民幼儿园,公办幼儿园,浦东大道1615弄24号,200135,58607286
107,上海市浦东新区罗山幼儿园,公办幼儿园,万德路52弄34号,200135,58609088
108,上海市浦东新区王港幼儿园,公办幼儿园,"王港新雅路181号
王港上丰路1601号",201201,58587456
109,上海市浦东新区唐镇幼儿园,公办幼儿园,唐安路851号,201203,38971832
110,上海市浦东新区蔡路幼儿园,公办幼儿园,利云路7947弄55号,201201,68906046
111,上海市浦东新区金爵幼儿园,公办幼儿园,唐安路1072号,201203,68790288
112,上海市浦东新区老港镇中心幼儿园,公办幼儿园,"老港镇建苑路12号
老港镇滨海通源西路3号",201302,68291578
113,上海市浦东新区新港幼儿园,公办幼儿园,书院镇中六路48弄3号,201304,33753708
114,上海市浦东新区书院幼儿园,公办幼儿园,"书院镇弘中路20号
书院镇石潭路79号",201305,33753927
115,上海市浦东新区泥城幼儿园,公办幼儿园,"泥城路160号
泥城镇霞光路148号",201306,58070739
116,上海市浦东新区彭镇幼儿园,公办幼儿园,"彭镇镇马五路475号
青岛路150号",201306,20900276
